P_ID,module_instance_id,lms_item_id,rate_count_diff,rate_count_clarity,rate_count_usefulness,interaction_count
11,2,2,2,4,2,32
11,2,3,4,5,1,40
11,3,1,1,1,1,24
11,3,2,5,4,5,17
11,3,3,3,5,2,9
11,3,4,1,2,2,34
11,4,1,3,5,5,37
11,4,2,1,2,1,15
11,4,3,5,2,1,26
12,1,1,1,5,1,38
12,1,2,1,3,1,25
12,1,3,4,1,5,35
12,1,4,5,3,5,27
12,2,1,5,5,2,14
12,2,2,3,1,5,18
12,2,3,1,1,3,49
12,2,4,5,4,1,44
12,2,5,2,4,2,38
12,2,6,3,3,2,16
12,3,1,4,5,3,21
12,3,2,5,5,2,15
12,4,1,4,2,2,38
12,4,2,2,3,3,38
12,4,3,4,1,1,28
12,4,4,4,2,3,21
13,1,1,4,2,1,14
13,1,2,1,4,4,28
13,1,3,5,2,5,6
13,1,4,5,3,3,15
13,1,5,3,1,3,20
13,1,6,4,4,1,7
13,2,1,3,5,2,23
13,2,2,5,5,2,32
13,2,3,2,5,5,10
13,2,4,1,5,1,16
14,1,1,1,2,5,31
14,1,2,1,2,1,26
14,1,3,3,5,1,30
14,2,1,1,1,3,19
14,2,2,2,4,2,49
14,2,3,2,3,3,11
14,2,4,3,3,4,49
14,2,5,2,2,3,19
14,3,1,5,4,2,43
14,3,2,1,1,2,48
15,1,1,5,4,1,8
15,1,2,2,3,1,49
15,2,1,4,2,1,48
15,2,2,3,2,1,41
15,2,3,4,2,2,49
16,1,1,1,1,5,26
16,1,2,5,4,3,34
16,1,3,1,3,3,35
16,1,4,5,4,2,24
16,1,5,4,3,4,19
16,1,6,1,3,1,6
16,2,1,2,3,5,48
16,2,2,5,2,4,23
16,2,3,4,1,4,16
16,2,4,1,2,5,15
16,3,1,5,3,3,37
16,3,2,2,2,5,27
16,3,3,2,4,2,17
16,3,4,2,4,1,41
16,3,5,1,1,1,15
17,1,1,1,5,4,48
17,1,2,2,5,3,13
17,1,3,2,4,3,39
17,1,4,1,4,5,12
17,2,1,1,5,4,34
17,2,2,3,5,5,9
17,2,3,3,3,2,8
17,2,4,1,5,2,29
17,3,1,3,5,1,27
17,3,2,1,1,1,37
17,3,3,2,5,3,43
17,4,1,3,3,2,19
17,4,2,5,1,4,34
17,4,3,3,4,5,42
17,4,4,1,1,5,41
18,1,1,4,2,2,9
18,1,2,3,2,1,42
18,2,1,4,5,4,19
18,2,2,5,5,5,8
18,2,3,4,5,2,31
18,2,4,3,3,4,40
18,2,5,2,3,3,9
18,2,6,4,3,2,44
18,3,1,3,4,2,17
18,3,2,2,1,1,44
18,3,3,4,3,4,48
18,4,1,4,5,5,12
18,4,2,2,1,4,35
18,4,3,2,1,3,33
18,4,4,1,3,1,41
18,4,5,5,2,4,27
19,1,1,3,5,1,13
19,1,2,2,4,1,30
19,2,1,3,4,1,30
19,2,2,3,2,2,31
20,1,1,1,3,3,48
20,1,2,3,3,1,11
20,1,3,4,5,1,33
20,1,4,3,2,4,25
20,2,1,1,4,1,24
20,2,2,4,5,1,11
20,3,1,5,3,3,23
20,3,2,5,1,5,33
21,1,1,2,1,3,6
21,1,2,4,1,2,34
21,1,3,3,4,1,12
21,1,4,5,3,2,14
21,2,1,2,4,1,27
21,2,2,4,2,5,12
21,2,3,1,1,3,28
21,2,4,3,5,1,41
21,3,1,3,1,4,12
21,3,2,2,3,3,20
21,3,3,4,4,5,25
21,3,4,2,2,1,27
22,1,1,5,3,4,33
22,1,2,4,2,2,5
22,1,3,5,4,3,46
22,1,4,2,3,4,24
22,2,1,5,1,2,48
22,2,2,3,4,2,26
22,2,3,4,1,2,34
22,2,4,3,1,2,21
22,2,5,1,2,5,29
22,2,6,1,3,4,30
23,1,1,5,2,5,15
23,1,2,2,5,2,40
23,1,3,1,2,1,41
23,1,4,1,2,4,27
23,1,5,5,2,5,31
23,1,6,1,3,2,16
23,2,1,1,5,2,49
23,2,2,1,2,5,32
23,2,3,2,2,4,47
23,2,4,1,3,5,40
23,2,5,3,2,5,25
23,2,6,3,3,4,43
23,3,1,2,5,1,40
23,3,2,4,3,3,47
23,3,3,1,3,5,47
23,3,4,2,1,2,6
24,1,1,1,1,1,29
24,1,2,5,3,2,29
24,2,1,3,2,5,48
24,2,2,4,3,2,16
24,2,3,3,5,4,21
24,2,4,2,1,1,16
25,1,1,5,1,5,20
25,1,2,1,2,1,16
25,1,3,3,2,1,49
25,1,4,2,2,1,27
25,2,1,5,2,5,11
25,2,2,1,3,2,27
25,2,3,5,2,4,43
25,3,1,2,3,2,43
25,3,2,1,3,4,49
25,3,3,2,3,5,47
25,3,4,2,4,1,8
26,1,1,5,2,1,20
26,1,2,5,2,4,6
26,2,1,2,2,3,17
26,2,2,5,2,3,43
26,2,3,4,5,1,33
26,2,4,5,4,1,20
27,1,1,2,1,4,9
27,1,2,1,1,3,49
27,2,1,4,2,5,29
27,2,2,1,5,1,19
27,2,3,1,1,4,16
27,3,1,2,5,5,41
27,3,2,3,4,3,17
27,3,3,2,1,4,8
27,3,4,3,4,5,49
27,4,1,3,2,1,30
27,4,2,1,1,2,7
27,4,3,5,5,1,13
28,1,1,2,1,5,46
28,1,2,3,2,2,21
28,1,3,3,3,5,29
28,1,4,1,4,5,38
28,1,5,3,1,3,32
28,2,1,1,3,1,38
28,2,2,4,2,1,19
28,2,3,1,5,3,38
28,2,4,4,3,5,30
28,2,5,2,5,4,17
28,2,6,4,5,5,21
28,3,1,5,5,3,7
28,3,2,2,3,5,49
28,3,3,1,3,4,37
28,4,1,3,1,5,47
28,4,2,5,1,5,46
28,4,3,4,3,4,11
28,4,4,5,3,5,35
29,1,1,2,3,5,34
29,1,2,2,4,2,18
29,1,3,5,5,4,43
29,2,1,5,3,1,45
29,2,2,1,2,4,28
29,2,3,5,3,3,34
29,3,1,1,2,4,19
29,3,2,5,5,4,24
29,3,3,4,2,4,31
29,4,1,4,1,2,5
29,4,2,2,3,2,18
30,1,1,4,4,3,39
30,1,2,4,5,4,11
30,1,3,5,3,1,10
30,1,4,3,3,2,27
30,1,5,2,2,2,33
30,1,6,4,1,3,17
30,2,1,5,5,3,36
30,2,2,2,4,3,31
30,3,1,1,4,4,33
30,3,2,5,5,3,24
30,3,3,3,1,5,7
30,3,4,3,1,2,42
30,4,1,5,3,1,29
30,4,2,4,2,4,20
30,4,3,3,4,1,21
31,1,1,3,2,4,11
31,1,2,3,5,4,28
31,1,3,4,2,3,24
31,1,4,1,1,4,24
31,1,5,4,1,1,26
31,1,6,5,5,2,28
31,2,1,5,1,5,22
31,2,2,2,3,5,29
31,2,3,1,4,1,12
31,2,4,3,3,1,21
32,1,1,4,1,2,44
32,1,2,2,4,1,6
32,1,3,1,1,1,17
32,1,4,1,5,4,30
32,1,5,2,2,2,19
32,2,1,2,4,1,44
32,2,2,3,5,3,10
32,2,3,1,1,1,16
33,1,1,4,3,3,24
33,1,2,4,2,2,7
33,1,3,1,4,2,18
33,1,4,3,2,4,27
33,1,5,4,5,1,49
33,2,1,2,3,4,49
33,2,2,5,5,3,48
33,2,3,2,2,3,26
33,2,4,5,1,3,7
33,3,1,2,3,3,33
33,3,2,1,4,1,34
33,3,3,5,2,5,28
33,3,4,4,5,4,32
33,3,5,4,4,4,28
34,1,1,3,1,4,38
34,1,2,4,2,2,40
34,2,1,3,3,2,16
34,2,2,3,5,2,44
34,2,3,5,1,3,30
34,3,1,2,4,2,41
34,3,2,5,5,1,18
34,3,3,1,4,2,43
34,3,4,1,3,1,32
34,3,5,2,3,5,9
35,1,1,4,4,5,27
35,1,2,3,2,3,18
35,2,1,5,2,4,34
35,2,2,1,1,5,24
35,2,3,3,4,1,24
35,3,1,1,3,5,41
35,3,2,4,5,1,48
35,3,3,4,4,3,24
35,3,4,2,2,1,41
35,3,5,4,2,5,5
35,4,1,5,5,3,9
35,4,2,1,1,3,18
35,4,3,4,2,4,28
35,4,4,3,3,2,29
36,1,1,1,3,2,27
36,1,2,4,4,5,20
36,1,3,2,2,4,12
36,1,4,2,5,1,12
36,1,5,5,5,2,5
36,1,6,2,3,2,34
36,2,1,2,1,2,12
36,2,2,1,4,3,12
36,2,3,1,4,1,5
36,3,1,5,5,1,30
36,3,2,4,2,2,10
36,3,3,1,1,1,29
36,3,4,5,1,5,17
37,1,1,3,4,2,42
37,1,2,4,3,2,22
37,2,1,1,3,5,15
37,2,2,1,1,5,19
37,2,3,1,4,2,11
37,2,4,5,3,4,33
37,2,5,1,1,1,36
37,2,6,1,3,4,42
37,3,1,3,3,2,6
37,3,2,1,3,5,30
37,3,3,2,4,5,33
37,4,1,1,4,5,38
37,4,2,5,4,4,19
37,4,3,3,2,4,47
38,1,1,3,5,4,19
38,1,2,1,4,3,19
38,1,3,4,5,5,26
38,1,4,3,2,5,8
38,1,5,5,4,3,33
38,1,6,4,3,2,40
38,2,1,2,1,5,8
38,2,2,2,1,3,11
38,2,3,4,2,5,35
39,1,1,2,5,2,40
39,1,2,4,4,1,48
39,2,1,2,3,5,26
39,2,2,5,4,1,30
39,2,3,1,2,2,46
39,2,4,1,2,3,41
39,2,5,4,2,3,40
39,2,6,4,2,1,22
39,3,1,4,2,1,9
39,3,2,1,3,4,38
39,3,3,1,5,1,26
39,3,4,5,3,4,11
39,4,1,2,1,5,29
39,4,2,2,3,5,22
39,4,3,3,2,5,43
39,4,4,1,1,3,43
40,1,1,4,2,2,36
40,1,2,5,4,5,37
40,1,3,4,3,1,12
40,1,4,1,3,1,43
40,2,1,5,1,4,6
40,2,2,4,5,4,31
40,2,3,5,2,3,48
40,2,4,5,2,3,26
40,2,5,2,4,2,42
40,3,1,3,2,4,12
40,3,2,4,2,4,9
41,1,1,1,2,1,20
41,1,2,4,1,4,12
41,1,3,4,3,5,27
41,1,4,4,3,5,24
41,1,5,4,1,1,34
41,1,6,5,4,2,12
41,2,1,5,4,4,38
41,2,2,5,4,1,27
42,1,1,2,1,5,6
42,1,2,3,1,1,5
42,1,3,3,3,4,27
42,1,4,2,4,2,10
42,1,5,3,3,4,41
42,1,6,4,2,4,46
42,2,1,5,3,2,34
42,2,2,3,4,1,19
42,2,3,5,3,2,31
42,3,1,3,2,4,22
42,3,2,2,1,2,29
42,3,3,5,1,4,35
43,1,1,5,4,3,39
43,1,2,1,1,5,38
43,2,1,2,4,1,19
43,2,2,4,5,4,16
43,2,3,4,5,4,22
43,2,4,5,4,5,47
43,2,5,2,4,3,35
43,2,6,3,5,3,38
43,3,1,1,2,3,35
43,3,2,1,3,1,39
43,3,3,5,1,4,11
44,1,1,4,1,5,43
44,1,2,4,4,5,40
44,1,3,4,2,5,39
44,1,4,3,4,5,26
44,1,5,5,2,3,25
44,2,1,2,2,5,5
44,2,2,5,5,2,49
44,2,3,5,5,2,41
44,2,4,5,4,1,39
44,2,5,1,4,3,25
44,2,6,4,5,2,8
45,1,1,4,2,3,45
45,1,2,5,4,5,42
45,1,3,2,5,2,17
45,1,4,1,1,1,13
45,1,5,1,1,2,33
45,2,1,2,2,2,44
45,2,2,5,4,3,38
45,3,1,1,1,4,27
45,3,2,5,3,5,36
45,3,3,4,1,5,12
45,3,4,5,1,3,5
46,1,1,3,1,5,24
46,1,2,5,2,4,15
46,1,3,4,3,3,32
46,1,4,3,3,2,9
46,2,1,2,4,1,35
46,2,2,1,1,2,19
46,2,3,2,3,1,40
46,2,4,4,1,1,29
46,2,5,2,2,2,25
46,2,6,4,4,3,44
47,1,1,5,4,2,15
47,1,2,2,1,2,13
47,1,3,1,3,4,29
47,1,4,2,4,4,25
47,1,5,4,3,1,25
47,1,6,3,2,1,16
47,2,1,2,5,5,25
47,2,2,4,3,3,29
47,3,1,5,5,2,6
47,3,2,5,5,4,31
47,3,3,2,3,4,17
47,3,4,3,5,5,37
47,3,5,3,3,5,34
48,1,1,1,5,2,20
48,1,2,1,4,5,7
48,1,3,1,4,3,36
48,1,4,2,2,3,29
48,1,5,2,5,3,31
48,2,1,1,5,1,40
48,2,2,2,2,2,16
48,2,3,1,1,2,24
48,3,1,3,3,5,8
48,3,2,5,4,4,14
48,3,3,3,2,5,42
48,3,4,5,5,2,42
48,4,1,4,1,5,24
48,4,2,1,4,5,18
48,4,3,3,5,2,8
48,4,4,2,2,3,35
48,4,5,4,4,3,23
49,1,1,4,2,5,35
49,1,2,4,3,5,40
49,1,3,1,1,2,32
49,1,4,3,3,1,49
49,1,5,1,1,4,24
49,1,6,3,4,3,43
49,2,1,2,5,1,14
49,2,2,2,3,5,47
49,3,1,5,1,3,49
49,3,2,3,5,3,46
50,1,1,3,5,5,41
50,1,2,4,1,5,14
50,1,3,5,4,2,8
50,2,1,3,1,1,40
50,2,2,1,4,4,35
50,2,3,4,1,4,25
50,3,1,2,4,3,32
50,3,2,2,2,1,17
50,3,3,4,1,5,40
50,3,4,3,4,2,47
50,3,5,1,5,4,37
50,4,1,2,3,4,28
50,4,2,5,2,2,48
50,4,3,1,5,2,25
50,4,4,2,5,3,27
