VIDEO_ID,VIDEO_LENGTH_MINUTES,MODULE_INSTANCE_ID
V000001307,6,I2302674
V000001798,15,I2301236
V000001857,15,I2301236
V000019824,100,I2302627
V000020301,77,I2302627
V000020279,94,I2302627
V000007121,91,I2302627
V000017033,130,I2302627
V000005345,84,I2302627
V000027201,85,I2302627
V000020670,3,I2301680
V000021977,37,I2302701
V000018549,13,I2302701
V000010837,56,I2302701
V000015583,45,I2300071
V000023159,21,I2300071
V000002081,25,I2300071
V000019437,79,I2302191
V000015360,99,I2302555
V000026799,85,I2302191
V000021987,116,I2302555
V000011979,82,I2302191
V000022011,104,I2302555
V000023687,87,I2302191
V000010863,115,I2302555
V000005105,70,I2302191
V000009304,123,I2302555
V000015200,90,I2302191
V000008184,107,I2302555
V000016332,99,I2302191
V000012290,125,I2302555
V000008651,94,I2302191
V000015451,92,I2302191
V000026853,65,I2302191
V000021122,94,I2302191
V000025639,81,I2302191
V000029532,44,I2302191
V000017349,55,I2300660
V000017703,62,I2300660
V000005284,70,I2300436
V000026927,77,I2300436
V000006049,72,I2300436
V000010364,77,I2300436
V000027052,66,I2300436
V000006186,89,I2300436
V000021537,109,I2300436
V000020008,90,I2300436
V000001528,104,I2300436
V000005392,27,I2301764
V000007180,24,I2301764
V000021650,46,I2300066
V000017725,16,I2300066
V000021664,56,I2300066
V000028456,108,I2302627
V000024473,1,I2302627
V000011992,28,I2302627
V000025809,94,I2302627
V000029189,11,I2302627
V000011666,1,I2302627
V000014521,4,I2302627
V000021747,97,I2302627
V000016343,72,I2302627
V000012935,106,I2302627
V000016338,91,I2302627
V000009127,153,I2302627
V000004225,11,I2302627
V000016994,1,I2302627
V000002314,158,I2302627
V000018124,117,I2300066
V000022061,224,I2301461
V000027514,236,I2301461
V000014286,214,I2302568
V000006586,213,I2302568
V000013901,221,I2301461
V000014172,207,I2302568
V000019085,211,I2302568
V000029836,260,I2301461
V000021360,30,I2301461
V000017125,169,I2302568
V000030128,94,I2302191
V000025581,98,I2302191
V000021605,78,I2302191
V000015695,93,I2302555
V000020648,64,I2302191
V000012187,106,I2302555
V000014535,82,I2302191
V000001835,103,I2302555
V000022343,3,I2302540
V000006317,242,I2302540
V000019592,207,I2302540
V000023720,60,I2302540
V000013668,222,I2302540
V000028294,209,I2302540
V000029412,114,I2302277
V000014212,107,I2302277
V000003747,92,I2302277
V000019482,103,I2302277
V000023806,108,I2302277
V000028937,80,I2302277
V000003657,3,I2302277
V000024293,93,I2302277
V000012197,100,I2302277
V000022142,93,I2302277
V000012998,14,I2301236
V000012251,14,I2301236
V000010197,85,I2302432
V000009288,80,I2302432
V000005236,44,I2300811
V000007187,44,I2300811
V000025891,91,I2301922
V00000741,99,I2301922
V000016572,126,I2301922
V000018498,120,I2301922
V000012777,54,I2300811
V000022014,58,I2300811
V000002946,48,I2301922
V000029799,122,I2301922
V000019743,122,I2301922
V000025193,124,I2301922
V000007538,115,I2301922
V000028356,107,I2301922
V000009314,64,I2301922
V000027859,59,I2300811
V000025589,56,I2300811
V000022687,113,I2302663
V000016281,113,I2302663
V000002164,111,I2302663
V000025458,126,I2302663
V000025528,119,I2302663
V000018827,113,I2302663
V000020935,119,I2302663
V000019231,119,I2302663
V000017498,111,I2302663
V000023782,104,I2302663
V000029365,112,I2302250
V000022798,77,I2302250
V000018345,116,I2301352
V00000245,41,I2301475
V000005035,35,I2301475
V000024786,84,I2302029
V000005670,26,I2301475
V000015009,84,I2301475
V000029318,93,I2302029
V000017685,64,I2302408
V000021461,96,I2301475
V000030300,74,I2302029
V000004153,90,I2301475
V000022502,91,I2302029
V000006829,75,I2301475
V000022682,85,I2302029
V000008231,77,I2301475
V000012424,82,I2302029
V000024871,73,I2301475
V000022693,2,I2302029
V000021979,70,I2302029
V000028844,65,I2302029
V000017954,93,I2301746
V000004592,74,I2301746
V000019506,89,I2301746
V000023549,15,I2301236
V000026571,58,I2301475
V000004730,115,I2301865
V000003920,105,I2301865
V000024776,111,I2301865
V000027794,122,I2301865
V000008941,121,I2301865
V000014282,103,I2301865
V000029652,120,I2301865
V000011706,120,I2301865
V000016885,7,I2300329
V000005869,1,I2301680
V000025842,5,I2301979
V000016732,3,I2301054
V000021504,2,I2301054
V000006235,71,I2301926
V000010850,62,I2301926
V000026074,31,I2301228
V000029234,29,I2301228
V000026607,23,I2301228
V000029383,29,I2301228
V000004017,7,I2300329
V000012395,3,I2301680
V000013516,5,I2301979
V00000167,2,I2301680
V000002956,97,I2300169
V000001085,101,I2300169
V000017870,72,I2300169
V00000435,82,I2300169
V000020035,72,I2300169
V000019787,82,I2300169
V000025032,124,I2300169
V000021105,97,I2300169
V000024583,99,I2300169
V000021607,108,I2300169
V000018562,102,I2300169
V000013765,100,I2300169
V000008157,135,I2300169
V000009014,118,I2300169
V000004159,78,I2300169
V000029030,127,I2302215
V000019946,7,I2300329
V000005078,98,I2302215
V000024855,98,I2302215
V000016946,115,I2302215
V000019143,101,I2302215
V000018128,114,I2302215
V000022490,3,I2301680
V000003610,5,I2302263
V000022326,21,I2301060
V000002371,37,I2301060
V000003901,1,I2300074
V000011001,5,I2300071
V000007851,7,I2300329
V000013029,2,I2301680
V000027449,5,I2302263
V000003337,6,I2301472
V000021139,6,I2302674
V000017672,31,I2302499
V000008257,35,I2302499
V000019819,6,I2301472
V000025785,6,I2302674
V000013781,18,I2300270
V000012524,21,I2300270
V000014796,7,I2301242
V000023646,87,I2300460
V000002852,59,I2300460
V000024543,10,I2300460
V000010437,68,I2300460
V000003779,65,I2300460
V000025786,1,I2300460
V000012315,77,I2300460
V000013261,67,I2300460
V000015260,1,I2300460
V000015822,2,I2300460
V000015813,69,I2300460
V000002058,59,I2300460
V000003835,1,I2300460
V000002854,1,I2300460
V000020240,114,I2300460
V000014884,8,I2301613
V000003944,13,I2301236
V00000760,9,I2301613
V000008735,10,I2300214
V000017586,105,I2300460
V000006775,75,I2300460
V000014825,138,I2300563
V000001642,138,I2300110
V000007652,138,I2300873
V000010549,114,I2300563
V000009376,114,I2300873
V000029577,114,I2300563
V000012421,114,I2300110
V000004972,1,I2301639
V000029110,1,I2301639
V000023283,7,I2300113
V000003564,11,I2300113
V000021752,17,I2300113
V000029763,10,I2300113
V000001566,10,I2300113
V000027898,4,I2300113
V000027179,13,I2300113
V000012611,4,I2300113
V000017093,11,I2300113
V000011357,16,I2300113
V000010914,15,I2300113
V000026952,7,I2300113
V000001083,11,I2300113
V000014167,17,I2300113
V000017360,23,I2300113
V000024696,27,I2300113
V000004583,9,I2300113
V000009122,6,I2300113
V000016959,30,I2300113
V000007191,16,I2300113
V000028257,12,I2300113
V000002949,24,I2300113
V00000312,19,I2300113
V000019904,4,I2300113
V000029088,27,I2300113
V000021030,16,I2300113
V000028853,15,I2300113
V000025946,21,I2300113
V000006647,23,I2300113
V000026257,18,I2300113
V000024014,33,I2300113
V000005889,25,I2300113
V000021527,10,I2300113
V000028311,14,I2300113
V000024516,15,I2300113
V000021299,11,I2300113
V000024107,9,I2300113
V000029011,25,I2300113
V000009810,11,I2300113
V000017960,15,I2300113
V000028655,4,I2300113
V000018798,31,I2300113
V00000382,19,I2300113
V000009135,33,I2300113
V000011394,8,I2300113
V000020219,22,I2300113
V000009882,7,I2300113
V000022805,5,I2300113
V000022964,14,I2300113
V000003531,10,I2300113
V000012887,7,I2300113
V000016252,6,I2300113
V000012076,13,I2300113
V000011777,15,I2301280
V000014259,5,I2301535
V000019585,4,I2301535
V000018434,1,I2302216
V000022984,8,I2302647
V000028185,22,I2301110
V00000210,13,I2301110
V000021717,23,I2301110
V000006403,18,I2301110
V000005063,14,I2301110
V000003595,16,I2301110
V000002573,19,I2301110
V000012973,15,I2301110
V000012609,26,I2301110
V000017345,21,I2301110
V00000049,51,I2301110
V000010579,27,I2301110
V000030219,39,I2301110
V000020405,22,I2301110
V000029663,43,I2301110
V000006634,48,I2301110
V000008879,40,I2301110
V000021876,33,I2301110
V000010889,29,I2301110
V000024677,6,I2301472
V000012399,6,I2300071
V000013382,1,I2300074
V000013463,1,I2300074
V000009009,6,I2302674
V000008700,7,I2300329
V000002792,6,I2301472
V00000024,2,I2301680
V000016962,5,I2302263
V000023729,79,I2300368
V000026889,134,I2300368
V000004458,15,I2301280
V000011282,6,I2302674
V000002406,100,I2300368
V000016366,91,I2300368
V000002954,86,I2300368
V000011755,112,I2300368
V000014919,86,I2300368
V000024560,98,I2300368
V000008027,119,I2300368
V000026747,114,I2300368
V000016551,100,I2300368
V000012758,107,I2300368
V000005702,17,I2301110
V000004740,21,I2301110
V000012149,21,I2301110
V000008716,16,I2301110
V000011144,12,I2301110
V000020446,27,I2301110
V000022691,23,I2301110
V000021568,18,I2301110
V000022983,22,I2301110
V000010758,22,I2301110
V000027079,28,I2301110
V000008294,17,I2301110
V000018870,17,I2301110
V000015023,22,I2301110
V000017818,16,I2301110
V000014306,50,I2302285
V000002384,65,I2302282
V000018667,65,I2302282
V000011634,66,I2302105
V000012766,64,I2302105
V000010528,54,I2302282
V000003053,61,I2302282
V000007644,54,I2302285
V000015858,66,I2302285
V000006612,77,I2302282
V000016197,59,I2302282
V000016192,45,I2302282
V000030203,51,I2302282
V000022874,60,I2302105
V000020776,64,I2302105
V000001343,55,I2302282
V000009418,58,I2302282
V000014499,55,I2302282
V000016691,67,I2302282
V000007080,66,I2302105
V000009726,64,I2302105
V000008723,75,I2302105
V000001592,78,I2302105
V000007200,35,I2302282
V000022203,53,I2302282
V000020019,60,I2302282
V000009275,56,I2302282
V000011075,52,I2302282
V000030189,61,I2302282
V000023525,70,I2300402
V000016540,80,I2300402
V000003597,78,I2300402
V00000545,47,I2302671
V00000811,63,I2300402
V000026793,69,I2302671
V000016066,107,I2300436
V000019383,153,I2300436
V000013712,6,I2302674
V000016546,95,I2300436
V000003224,85,I2300436
V000014155,79,I2300436
V000022589,81,I2300436
V000013281,60,I2301136
V000021135,59,I2300436
V000009885,63,I2300436
V000022330,79,I2300436
V000008285,63,I2301136
V000015113,61,I2301136
V00000057,88,I2300436
V000017773,89,I2300436
V000016606,78,I2300436
V000015285,78,I2300436
V000018547,37,I2301136
V000001414,35,I2301136
V000020594,70,I2301136
V000017966,79,I2301136
V000007799,83,I2300402
V000018019,6,I2301472
V000013852,3,I2301054
V000029779,2,I2301054
V000025787,10,I2301280
V000008517,4,I2301161
V000005030,52,I2301853
V000017411,59,I2301853
V000024248,48,I2300933
V000006338,51,I2300933
V00000100,50,I2300933
V000025355,41,I2300933
V000026580,48,I2301280
V000028486,45,I2301280
V000023499,49,I2301280
V000019920,157,I2300933
V000016286,35,I2300933
V000018036,6,I2302674
V000002060,7,I2302674
V000026056,6,I2301472
V000024106,7,I2301472
V000001890,47,I2300933
V000015271,147,I2300416
V000011212,193,I2300416
V000028722,183,I2300416
V000005817,196,I2300416
V000006912,141,I2300416
V000018820,119,I2300416
V000016372,181,I2300416
V000012367,168,I2300416
V000011351,145,I2300416
V000010944,60,I2300416
V000025439,57,I2300416
V000019677,145,I2300416
V000019028,148,I2300416
V000029563,141,I2300416
V000018204,175,I2300416
V000005413,88,I2302523
V000003993,79,I2301218
V000011915,85,I2301218
V000016969,76,I2302523
V000008115,134,I2302523
V000017758,96,I2301218
V000024809,87,I2301218
V000016775,92,I2302523
V000010180,94,I2302523
V000021604,104,I2301218
V000015348,94,I2301218
V000015602,91,I2302523
V000023185,79,I2302523
V000014427,92,I2301218
V000010901,85,I2301218
V000009637,87,I2302523
V000008395,99,I2302523
V000028746,80,I2301218
V000004535,77,I2301218
V000005308,77,I2302523
V000007548,96,I2302523
V000029229,92,I2301218
V000030037,84,I2301218
V000020785,81,I2302523
V000017754,6,I2302674
V000029833,115,I2302210
V000013264,108,I2302210
V000004664,114,I2302210
V000014961,107,I2302210
V000007075,110,I2302210
V000006575,107,I2302210
V000024621,109,I2301286
V000018245,114,I2301286
V000029109,83,I2302523
V000018867,78,I2301218
V000004999,91,I2301218
V000010545,89,I2302523
V000016839,96,I2301218
V000029296,87,I2302523
V000023647,92,I2302523
V000012164,96,I2301218
V000017680,92,I2301218
V000027384,68,I2302523
V000009479,93,I2300415
V000029919,86,I2300415
V000029290,94,I2300415
V000013593,82,I2300415
V000020675,97,I2300415
V00000673,85,I2300415
V000004806,99,I2300415
V000018533,107,I2300415
V000010858,105,I2300415
V000018671,89,I2300415
V000009525,99,I2300415
V000011477,72,I2300415
V000012246,109,I2300415
V000027255,83,I2300415
V000006438,95,I2300415
V000024290,80,I2300415
V000004427,111,I2300415
V000015683,91,I2301451
V000004705,113,I2301286
V000005360,114,I2301286
V000023156,98,I2302210
V000026331,104,I2302210
V000011305,115,I2301286
V000012205,112,I2301286
V000007417,104,I2302210
V000014682,112,I2302210
V000002563,126,I2301286
V000024348,53,I2302210
V000019733,93,I2302210
V000011581,7,I2300329
V000009615,2,I2301680
V000014904,6,I2300329
V000030020,175,I2302195
V000002436,171,I2302195
V000009663,175,I2302195
V000023078,168,I2302195
V000020029,167,I2302195
V000024504,178,I2302195
V000018289,196,I2302195
V000003357,178,I2302195
V000027209,7,I2300329
V000018257,2,I2301680
V000028584,109,I2300220
V000003130,99,I2300220
V000018076,92,I2300220
V000008799,14,I2300957
V000001606,98,I2300220
V000011877,100,I2300220
V000018192,102,I2300220
V000017247,97,I2300220
V000005445,85,I2300957
V000020957,65,I2300957
V000024135,53,I2300957
V000023565,60,I2300957
V000003115,62,I2300957
V000017507,108,I2300220
V000027472,107,I2300220
V000025321,42,I2300957
V00000912,52,I2300957
V000005518,109,I2300220
V000012755,107,I2300220
V000023318,102,I2300220
V000017160,106,I2300220
V000011542,59,I2300957
V000021777,99,I2300220
V00000219,107,I2300220
V000028580,56,I2300957
V000009236,101,I2300220
V000022655,101,I2300220
V000022031,96,I2300220
V000018188,104,I2300220
V000011838,103,I2300220
V000007733,102,I2300220
V000001743,55,I2300415
V000011333,54,I2300415
V000019617,54,I2300415
V000028262,47,I2300415
V000020699,51,I2300415
V000015783,58,I2300415
V000029497,55,I2300415
V000014673,60,I2300415
V000003427,46,I2300415
V000024085,47,I2300415
V000022476,162,I2302195
V000005437,6,I2302674
V000026572,7,I2300329
V000016916,3,I2301680
V000012017,83,I2301500
V000021265,64,I2301500
V000013074,70,I2301500
V000001559,95,I2301500
V000017890,70,I2301500
V000015520,155,I2300265
V000010783,71,I2300265
V000003780,91,I2301500
V000015038,78,I2301500
V000011846,78,I2301500
V000023738,75,I2301500
V00000306,72,I2301500
V000003686,68,I2301500
V000027548,228,I2300265
V00000085,226,I2300265
V000007380,195,I2300265
V000017789,72,I2301500
V000011206,69,I2301500
V000030262,81,I2301500
V000022826,208,I2300265
V000026973,146,I2300373
V000022416,144,I2300373
V00000780,174,I2300373
V000025728,105,I2300373
V000027679,115,I2300176
V000007724,122,I2300176
V000005935,128,I2300176
V000015974,128,I2300176
V00000311,130,I2300176
V000010492,133,I2300176
V000022238,107,I2300176
V000021391,82,I2301488
V000020249,121,I2302599
V000028191,146,I2302599
V000027709,43,I2300602
V000028007,28,I2300602
V000023446,127,I2300602
V000006822,78,I2300602
V000019420,78,I2300602
V000029976,72,I2300951
V000014995,66,I2300602
V000003323,134,I2300602
V000023823,129,I2300602
V000029197,64,I2300602
V000019569,80,I2300602
V000023454,75,I2300602
V000029258,67,I2300602
V000024249,159,I2300602
V000030388,72,I2300602
V000021631,50,I2300602
V000023772,133,I2300602
V000023727,84,I2300602
V000029053,64,I2300602
V000027614,74,I2300602
V000005940,45,I2300602
V000015771,71,I2300602
V000013396,66,I2300602
V000015267,56,I2300602
V000021931,66,I2300602
V000014912,74,I2300602
V000028958,51,I2300602
V000026968,127,I2300602
V000001257,125,I2302123
V000021845,123,I2302123
V000023069,81,I2302123
V000018507,65,I2302123
V000006392,136,I2302123
V00000947,114,I2301791
V000012627,96,I2301791
V000025088,146,I2302183
V000013119,106,I2300951
V000024987,81,I2300951
V000026649,101,I2302183
V000026618,54,I2302183
V000029461,5,I2302183
V000024515,17,I2302183
V000001960,110,I2302183
V000005457,48,I2302183
V000019934,58,I2302183
V000015637,85,I2302183
V000030054,97,I2302183
V000018142,13,I2302287
V000005398,25,I2302287
V000016656,34,I2302287
V000022114,6,I2301472
V000015788,6,I2302674
V000010175,6,I2301472
V000007042,139,I2302103
V000012564,61,I2302103
V000005861,199,I2302103
V000023079,50,I2302103
V000012051,158,I2302438
V000005683,138,I2302438
V000026634,131,I2302438
V000012108,132,I2302438
V000024414,149,I2302438
V000027879,131,I2302438
V000009890,169,I2302438
V000015286,46,I2302438
V000026617,185,I2302103
V000003042,59,I2302103
V000002029,43,I2302103
V000015195,201,I2302103
V000001502,58,I2302103
V000017142,13,I2301236
V000022544,44,I2302599
V000027840,15,I2301280
V000001930,5,I2301979
V000001730,4,I2301161
V000028704,6,I2302674
V000025811,5,I2302263
V000006361,3,I2301680
V000006000,8,I2301613
V000022422,6,I2300071
V00000843,1,I2300074
V00000651,6,I2302674
V000028500,6,I2301472
V000011471,34,I2302618
V000026458,132,I2302618
V000003974,125,I2302618
V000021684,110,I2302618
V000017692,127,I2302618
V000028015,15,I2301236
V000001926,1,I2301639
V000018329,29,I2301895
V000025962,38,I2301895
V000010569,71,I2301895
V000012256,9,I2301895
V000002875,33,I2301895
V000014951,9,I2301895
V000015991,36,I2301895
V000016207,20,I2301895
V000030111,33,I2301895
V000024810,12,I2301895
V00000597,38,I2301895
V000021186,34,I2301895
V00000342,14,I2301895
V000009771,21,I2301895
V000001498,21,I2301895
V000007529,22,I2301895
V000010087,15,I2301895
V000018961,17,I2301895
V00000220,7,I2301895
V000008094,50,I2301895
V000009599,19,I2301895
V000006448,32,I2301895
V000019436,13,I2301895
V00000860,22,I2301895
V000004932,66,I2301895
V000008090,46,I2301895
V000019286,43,I2301895
V000014064,22,I2301895
V000029694,24,I2301895
V000013217,52,I2301895
V000015735,24,I2301895
V000025807,54,I2301895
V000026544,64,I2301895
V000002359,15,I2301236
V000030106,2,I2301054
V000005171,3,I2301054
V000002988,93,I2302146
V000001010,110,I2302146
V000018578,170,I2301989
V000010025,157,I2301989
V000002255,162,I2302146
V000024799,77,I2302146
V000020189,101,I2301989
V000021992,64,I2302146
V000007058,80,I2302146
V000023080,91,I2301989
V000004788,123,I2301989
V000002522,2,I2301054
V000004067,3,I2301054
V000016745,8,I2301613
V000009274,17,I2301001
V000012706,15,I2301236
V000001721,1,I2301639
V000020162,15,I2301236
V000002281,3,I2301680
V000010695,7,I2300329
V000026792,7,I2300329
V000003278,6,I2302674
V000021131,58,I2301873
V000022481,60,I2300787
V000006437,120,I2301873
V000007968,120,I2301873
V000001103,107,I2301873
V000021151,120,I2300787
V000010337,169,I2300165
V000006601,50,I2300165
V000013020,16,I2300135
V00000633,6,I2301472
V000026614,48,I2300511
V000011009,53,I2300511
V000005992,45,I2300511
V000027979,52,I2300511
V000024202,59,I2300511
V000022857,48,I2300511
V000023599,49,I2300511
V000021883,40,I2300511
V000028606,44,I2300511
V000002137,53,I2300511
V000004376,56,I2300511
V000015668,47,I2300511
V000014889,63,I2300511
V000012480,49,I2300511
V000007363,16,I2301236
V000003177,47,I2300511
V000010237,50,I2300511
V000001579,6,I2301472
V000018051,6,I2301472
V000006823,6,I2301472
V000019964,2,I2301472
V000014186,6,I2302674
V000023300,1,I2302674
V000023472,1,I2302674
V000008772,8,I2301759
V000003523,8,I2301759
V000023888,1,I2302674
V000020321,120,I2302147
V000027788,180,I2300294
V000016471,56,I2302548
V000015747,15,I2301331
V000022335,44,I2301261
V000008164,120,I2302147
V000015399,60,I2301485
V000011163,60,I2301270
V000012749,66,I2300639
V000030418,180,I2300639
V000018788,120,I2301270
V000029065,52,I2302304
V000030101,60,I2301131
V000003725,60,I2301185
V000002460,60,I2301249
V000001952,40,I2301931
V000028054,109,I2300799
V000013420,120,I2300962
V000014358,50,I2302518
V000001489,180,I2300639
V000001515,115,I2300639
V000030302,180,I2301270
V000016987,60,I2300348
V000026131,10,I2300655
V000006547,5,I2301535
V000016900,7,I2300329
V000026117,104,I2302599
V000022267,213,I2302599
V000015134,152,I2301488
V000012916,113,I2301488
V000011485,89,I2300951
V000006789,61,I2300951
V000009429,92,I2300951
V000021817,143,I2300951
V000027448,141,I2300951
V000018103,152,I2302123
V000017807,122,I2302123
V000018888,2,I2301054
V000001271,5,I2302263
V000025402,2,I2301680
V000019647,9,I2301759
V000011912,5,I2301535
V000018706,3,I2301680
V000017522,50,I2302599
V000021515,69,I2302599
V000029133,118,I2302183
V000019496,8,I2302183
V000009508,65,I2302183
V000020836,116,I2302183
V000008607,61,I2302183
V000019187,48,I2302599
V000024984,73,I2302599
V000016702,214,I2302599
V000009842,86,I2302183
V000025822,56,I2302183
V000021934,67,I2301488
V000021862,70,I2301488
V000024282,59,I2301488
V000011994,28,I2301488
V000005781,61,I2301488
V000017622,15,I2301488
V000020230,92,I2302704
V000001390,93,I2302704
V000009456,94,I2302704
V000018004,169,I2302704
V000016400,98,I2302704
V000015603,86,I2302704
V000001427,106,I2302704
V000011996,165,I2302704
V000007650,100,I2302704
V000030337,87,I2302704
V000017977,82,I2302704
V000017251,89,I2302704
V000006385,89,I2302704
